row_index,cluster_id,PC1,PC2,PC3,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,award_decision_lag_days,high_risk_shortage,low_risk_shortage,overstocking,understocking,normal_inventory,unequal_supply_regions,equal_supply_regions
324,0,2.7281029311430625,0.1856693632679193,-0.162139656824019,0.87580705,1.0,0.7776106,0.0,0.0,0.5723757,0.4276243,0.5932708,0.4067292,0.7556104,0.0,1.0
325,0,1.3219704408305792,-0.8893244391544558,-0.3952849715301251,0.42189613,0.82093185,0.760162,0.0,0.0,0.5723757,0.4276243,0.5014187,0.4985813,0.9261584,0.0,1.0
329,0,2.022008361503739,-0.2237857983705467,-0.1673238779161296,0.5362508,0.88535506,0.8529608,0.18900387,0.0,0.5723757,0.4276243,0.79371107,0.20628892,0.38343927,0.0,1.0
330,0,2.409445415396076,-0.4171468714150683,-0.1166581410642543,0.5945394,0.9181927,0.900289,0.092521794,0.0,0.5723757,0.4276243,0.7498328,0.2501672,0.46491104,0.0,1.0
335,0,0.9629599366993002,0.2152223610140168,-0.3178078623512267,0.37609053,0.7951267,0.7229836,0.420726,0.0,0.5723757,0.4276243,0.80874234,0.19125767,0.3555297,0.0,1.0
344,0,1.461458494722882,-0.8619060427927209,-0.3640026021497857,0.44374648,0.8332415,0.77789694,0.0,0.0,0.5723757,0.4276243,0.51756537,0.48243466,0.8961779,0.0,1.0
345,0,1.2754525168255413,-0.8983148949716493,-0.4057504829119699,0.41465023,0.81684977,0.75420547,0.0,0.0,0.5723757,0.4276243,0.49567628,0.5043237,0.9368208,0.0,1.0
346,0,1.1921633595961114,-0.9148397980012566,-0.4243962549317239,0.4015623,0.80947655,0.7436579,0.0,0.0,0.5723757,0.4276243,0.48709536,0.51290464,0.9527536,0.0,1.0
349,0,2.418583210321199,-0.6735731981739753,-0.1493952208058386,0.5937293,0.91773635,0.89953464,0.0,0.0,0.5723757,0.4276243,0.568479,0.43152097,0.80164295,0.0,1.0
352,0,0.8778880774047009,-0.3901546975724647,-0.4160295266516778,0.3575385,0.7846752,0.7079257,0.2099701,0.0,0.5723757,0.4276243,0.70297563,0.2970244,0.551914,0.0,1.0
353,0,2.093469865799508,0.3718335430069746,-0.0742878946846222,0.55347806,0.89506024,0.865288,0.39601842,0.0,0.5723757,0.4276243,0.8858031,0.11419689,0.21244569,0.0,1.0
